6 90 30 30
3 14 19 5
21 24 17 6
4 29 24 16
25 29 12 27
3 26 12 5
29 19 6 18
16 25 17 7
9 29 9 8
27 23 21 11
6 16 7 7
20 27 20 10
16 24 26 11
17 16 2 12
1 9 25 3
15 17 22 5
20 6 2 1
9 26 23 20
12 20 20 11
13 23 25 16
12 26 22 1
15 12 11 2
18 13 28 3
24 15 9 5
15 16 18 8
4 18 0 16
8 17 4 15
8 27 12 17
9 25 16 10
21 22 4 20
15 18 6 6
9 18 21 16
28 23 1 0
17 25 19 19
4 14 9 4
27 22 0 4
1 24 26 14
11 11 23 4
3 10 3 9
7 21 12 0
26 23 0 13
1 12 12 1
16 18 19 10
2 27 6 19
25 28 20 26
26 26 23 12
0 25 22 22
18 16 8 7
8 23 23 15
26 28 7 9
1 6 16 4
25 14 1 1
26 16 21 5
10 7 11 3
21 26 24 24
9 20 6 11
6 22 14 8
18 26 19 20
21 15 10 6
18 14 25 13
12 25 28 19
9 21 9 16
25 23 20 13
1 19 8 12
5 27 23 1
18 10 29 3
6 29 21 2
2 20 28 11
14 4 4 0
19 11 22 0
4 19 25 18
11 22 1 16
11 13 8 1
20 19 24 14
16 20 7 14
19 29 5 2
27 16 21 4
3 27 21 7
29 12 19 4
7 22 7 10
20 16 17 1
22 23 5 1
6 25 12 22
23 26 22 2
27 12 10 0
25 22 8 11
28 7 6 2
1 26 13 6
17 27 11 5
7 15 16 7
1 18 20 14
16 21 7 0
12 16 13 1
11 26 24 21
12 21 15 10
5 24 27 19
27 8 5 6
13 25 26 5
13 17 23 2
13 13 4 11
27 13 11 9
11 25 14 24
16 28 23 27
9 22 15 20
17 17 6 4
10 28 6 7
23 8 8 6
18 27 0 15
8 3 24 1
2 14 6 1
25 26 9 3
8 24 16 8
8 5 8 2
23 13 16 2
25 21 11 18
28 28 28 20
25 24 13 11
10 18 28 4
0 14 8 4
0 27 0 20
11 24 4 3
18 28 21 17
27 25 18 0
24 19 6 8
13 26 27 7
21 25 11 20
13 10 28 2
7 17 5 13
11 15 24 7
18 7 3 2
22 24 15 9
15 27 10 8
0 24 9 12
18 21 12 6
1 28 7 13
5 29 16 15
14 10 27 9
21 20 16 12
26 27 5 15
13 14 15 3
18 18 5 10
0 26 28 13
5 19 5 5
8 28 2 19
20 29 27 1
7 8 1 4
26 17 21 6
2 11 25 9
19 18 12 3
19 16 3 3
24 23 17 15
25 19 17 8
11 14 10 9
29 20 26 12
29 25 3 16
27 27 22 15
16 16 25 15
29 23 4 5
14 28 13 24
3 29 7 25
16 26 24 0
23 21 11 6
10 27 28 0
17 24 22 14
14 29 18 24
4 23 15 5
22 18 19 12
4 12 25 4
23 9 18 4
6 24 15 19
9 19 0 1
7 16 16 9
22 16 9 13
8 8 27 6
22 13 26 4
6 14 21 10
4 13 17 3
15 15 4 1
13 27 29 13
13 19 1 7
13 7 19 6
25 0 655 21
23 0 653 21
19 1 649 21
22 0 262 8
2 0 272 9
12 0 12 0
